,,Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
1585,US-2014-169453,9-Feb-18,,2.344,,,,,,,,2.808,,
1586,US-2014-169454,10-Feb-18,,2.344,,,,,,,,2.808,,
1587,US-2014-169455,11-Feb-18,,2.344,,,,,,,,2.808,,
1588,US-2014-169456,12-Feb-18,,2.344,,,,,,,,2.808,,
1589,US-2014-169457,13-Feb-18,,2.344,,,,,,,,2.808,,
1590,US-2014-169458,14-Feb-18,,2.344,,,,,,,,2.808,,
1591,US-2014-169459,15-Feb-18,,2.344,,,,,,,,2.808,,
1592,US-2014-169460,16-Feb-18,,2.344,,,,,,,,2.808,,
1593,US-2014-169461,17-Feb-18,,2.344,,,,,,,,2.808,,
1594,US-2014-169462,18-Feb-18,,2.344,,,,,,,,2.808,,
1595,US-2014-169463,19-Feb-18,,2.344,,,,,,,,2.808,,
1596,US-2014-169464,20-Feb-18,,2.344,,,,,,,,2.808,,
1597,US-2014-169465,21-Feb-18,,2.344,,,,,,,,2.808,,
1598,US-2014-169466,22-Feb-18,,2.344,,,,,,,,2.808,,
1599,US-2014-169467,23-Feb-18,,2.344,,,,,,,,2.808,,
1600,US-2014-169468,24-Feb-18,,2.344,,,,,,,,2.808,,
1601,US-2014-169469,25-Feb-18,,2.344,,,,,,,,2.808,,
1602,US-2014-169470,26-Feb-18,,2.344,,,,,,,,2.808,,
1603,US-2014-169471,27-Feb-18,,2.344,,,,,,,,2.808,,
1604,US-2014-169472,28-Feb-18,,2.344,,,,,,,,2.808,,
1605,US-2014-169473,1-Mar-18,,2.344,,,,,,,,2.808,,
1606,US-2014-169474,2-Mar-18,,2.344,,,,,,,,2.808,,
1607,US-2014-169475,3-Mar-18,,2.344,,,,,,,,2.808,,
1608,US-2014-169476,4-Mar-18,,2.344,,,,,,,,2.808,,
1609,US-2014-169477,5-Mar-18,,2.344,,,,,,,,2.808,,
1610,US-2014-169478,6-Mar-18,,2.344,,,,,,,,2.808,,
1611,US-2014-169479,7-Mar-18,,2.344,,,,,,,,2.808,,
1612,US-2014-169480,8-Mar-18,,2.344,,,,,,,,2.808,,
1613,US-2014-169481,9-Mar-18,,2.344,,,,,,,,2.808,,
1614,US-2014-169482,10-Mar-18,,2.344,,,,,,,,2.808,,
1615,US-2014-169483,11-Mar-18,,2.344,,,,,,,,2.808,,
1616,US-2014-169484,12-Mar-18,,2.344,,,,,,,,2.808,,
1617,US-2014-169485,13-Mar-18,,2.344,,,,,,,,2.808,,
1618,US-2014-169486,14-Mar-18,,2.344,,,,,,,,2.808,,
1619,US-2014-169487,15-Mar-18,,2.344,,,,,,,,2.808,,
1620,US-2014-169488,16-Mar-18,,2.344,,,,,,,,2.808,,
1621,US-2014-169489,17-Mar-18,,2.344,,,,,,,,2.808,,
1622,US-2014-169490,18-Mar-18,,2.344,,,,,,,,2.808,,
1623,US-2014-169491,19-Mar-18,,2.344,,,,,,,,2.808,,
1624,US-2014-169492,20-Mar-18,,2.344,,,,,,,,2.808,,
1625,US-2014-169493,21-Mar-18,,2.344,,,,,,,,2.808,,
1626,US-2014-169494,22-Mar-18,,2.344,,,,,,,,2.808,,
1627,US-2014-169495,23-Mar-18,,2.344,,,,,,,,2.808,,
1628,US-2014-169496,24-Mar-18,,2.344,,,,,,,,2.808,,
1629,US-2014-169497,25-Mar-18,,2.344,,,,,,,,2.808,,
1630,US-2014-169498,26-Mar-18,,2.344,,,,,,,,2.808,,
1631,US-2014-169499,27-Mar-18,,2.344,,,,,,,,2.808,,
1632,US-2014-169500,28-Mar-18,,2.344,,,,,,,,2.808,,
1633,US-2014-169501,29-Mar-18,,2.344,,,,,,,,2.808,,
1634,US-2014-169502,30-Mar-18,,2.344,,,,,,,,2.808,,
1635,US-2014-169503,31-Mar-18,,2.344,,,,,,,,2.808,,
1636,US-2014-169504,1-Apr-18,,2.344,,,,,,,,2.808,,
1637,US-2014-169505,2-Apr-18,,2.344,,,,,,,,2.808,,
1638,US-2014-169506,3-Apr-18,,2.344,,,,,,,,2.808,,
1639,US-2014-169507,4-Apr-18,,2.344,,,,,,,,2.808,,
1640,US-2014-169508,5-Apr-18,,2.344,,,,,,,,2.808,,
1641,US-2014-169509,6-Apr-18,,2.344,,,,,,,,2.808,,
1642,US-2014-169510,7-Apr-18,,2.344,,,,,,,,2.808,,
1643,US-2014-169511,8-Apr-18,,2.344,,,,,,,,2.808,,
1644,US-2014-169512,9-Apr-18,,2.344,,,,,,,,2.808,,
1645,US-2014-169513,10-Apr-18,,2.344,,,,,,,,2.808,,
1646,US-2014-169514,11-Apr-18,,2.344,,,,,,,,2.808,,
1647,US-2014-169515,12-Apr-18,,2.344,,,,,,,,2.808,,
1648,US-2014-169516,13-Apr-18,,2.344,,,,,,,,2.808,,
1649,US-2014-169517,14-Apr-18,,2.344,,,,,,,,2.808,,
1650,US-2014-169518,15-Apr-18,,2.344,,,,,,,,2.808,,
1651,US-2014-169519,16-Apr-18,,2.344,,,,,,,,2.808,,
1652,US-2014-169520,17-Apr-18,,2.344,,,,,,,,2.808,,
1653,US-2014-169521,18-Apr-18,,2.344,,,,,,,,2.808,,
1654,US-2014-169522,19-Apr-18,,2.344,,,,,,,,2.808,,
1655,US-2014-169523,20-Apr-18,,2.344,,,,,,,,2.808,,
1656,US-2014-169524,21-Apr-18,,2.344,,,,,,,,2.808,,
1657,US-2014-169525,22-Apr-18,,2.344,,,,,,,,2.808,,
1658,US-2014-169526,23-Apr-18,,2.344,,,,,,,,2.808,,
1659,US-2014-169527,24-Apr-18,,2.344,,,,,,,,2.808,,
1660,US-2014-169528,25-Apr-18,,2.344,,,,,,,,2.808,,
1661,US-2014-169529,26-Apr-18,,2.344,,,,,,,,2.808,,
1662,US-2014-169530,27-Apr-18,,2.344,,,,,,,,2.808,,
1663,US-2014-169531,28-Apr-18,,2.344,,,,,,,,2.808,,
1664,US-2014-169532,29-Apr-18,,2.344,,,,,,,,2.808,,
1665,US-2014-169533,30-Apr-18,,2.344,,,,,,,,2.808,,
1666,US-2014-169534,1-May-18,,2.344,,,,,,,,2.808,,
1667,US-2014-169535,2-May-18,,2.344,,,,,,,,2.808,,
1668,US-2014-169536,3-May-18,,2.344,,,,,,,,2.808,,
1669,US-2014-169537,4-May-18,,2.344,,,,,,,,2.808,,
1670,US-2014-169538,5-May-18,,2.344,,,,,,,,2.808,,
1671,US-2014-169539,6-May-18,,2.344,,,,,,,,2.808,,
1672,US-2014-169540,7-May-18,,2.344,,,,,,,,2.808,,
1673,US-2014-169541,8-May-18,,2.344,,,,,,,,2.808,,
1674,US-2014-169542,9-May-18,,2.344,,,,,,,,2.808,,
1675,US-2014-169543,10-May-18,,2.344,,,,,,,,2.808,,
1676,US-2014-169544,11-May-18,,2.344,,,,,,,,2.808,,
1677,US-2014-169545,12-May-18,,2.344,,,,,,,,2.808,,
1678,US-2014-169546,13-May-18,,2.344,,,,,,,,2.808,,
1679,US-2014-169547,14-May-18,,2.344,,,,,,,,2.808,,
1680,US-2014-169548,15-May-18,,2.344,,,,,,,,2.808,,
1681,US-2014-169549,16-May-18,,2.344,,,,,,,,2.808,,
1682,US-2014-169550,17-May-18,,2.344,,,,,,,,2.808,,
1683,US-2014-169551,18-May-18,,2.344,,,,,,,,2.808,,
1684,US-2014-169552,19-May-18,,2.344,,,,,,,,2.808,,
1685,US-2014-169553,20-May-18,,2.344,,,,,,,,2.808,,
1686,US-2014-169554,21-May-18,,2.344,,,,,,,,2.808,,
1687,US-2014-169555,22-May-18,,2.344,,,,,,,,2.808,,
1688,US-2014-169556,23-May-18,,2.344,,,,,,,,2.808,,
1689,US-2014-169557,24-May-18,,2.344,,,,,,,,2.808,,
1690,US-2014-169558,25-May-18,,2.344,,,,,,,,2.808,,
1691,US-2014-169559,26-May-18,,2.344,,,,,,,,2.808,,
1692,US-2014-169560,27-May-18,,2.344,,,,,,,,2.808,,
1693,US-2014-169561,28-May-18,,2.344,,,,,,,,2.808,,
1694,US-2014-169562,29-May-18,,2.344,,,,,,,,2.808,,
1695,US-2014-169563,30-May-18,,2.344,,,,,,,,2.808,,
1696,US-2014-169564,31-May-18,,2.344,,,,,,,,2.808,,
1697,US-2014-169565,1-Jun-18,,2.344,,,,,,,,2.808,,
1698,US-2014-169566,2-Jun-18,,2.344,,,,,,,,2.808,,
1699,US-2014-169567,3-Jun-18,,2.344,,,,,,,,2.808,,
1700,US-2014-169568,4-Jun-18,,2.344,,,,,,,,2.808,,
1701,US-2014-169569,5-Jun-18,,2.344,,,,,,,,2.808,,
1702,US-2014-169570,6-Jun-18,,2.344,,,,,,,,2.808,,
1703,US-2014-169571,7-Jun-18,,2.344,,,,,,,,2.808,,
1704,US-2014-169572,8-Jun-18,,2.344,,,,,,,,2.808,,
1705,US-2014-169573,9-Jun-18,,2.344,,,,,,,,2.808,,
1706,US-2014-169574,10-Jun-18,,2.344,,,,,,,,2.808,,
1707,US-2014-169575,11-Jun-18,,2.344,,,,,,,,2.808,,
1708,US-2014-169576,12-Jun-18,,2.344,,,,,,,,2.808,,
1709,US-2014-169577,13-Jun-18,,2.344,,,,,,,,2.808,,
1710,US-2014-169578,14-Jun-18,,2.344,,,,,,,,2.808,,
1711,US-2014-169579,15-Jun-18,,2.344,,,,,,,,2.808,,
1712,US-2014-169580,16-Jun-18,,2.344,,,,,,,,2.808,,
1713,US-2014-169581,17-Jun-18,,2.344,,,,,,,,2.808,,
1714,US-2014-169582,18-Jun-18,,2.344,,,,,,,,2.808,,
1715,US-2014-169583,19-Jun-18,,2.344,,,,,,,,2.808,,
1716,US-2014-169584,20-Jun-18,,2.344,,,,,,,,2.808,,
1717,US-2014-169585,21-Jun-18,,2.344,,,,,,,,2.808,,
1718,US-2014-169586,22-Jun-18,,2.344,,,,,,,,2.808,,
1719,US-2014-169587,23-Jun-18,,2.344,,,,,,,,2.808,,
1720,US-2014-169588,24-Jun-18,,2.344,,,,,,,,2.808,,
1721,US-2014-169589,25-Jun-18,,2.344,,,,,,,,2.808,,
1722,US-2014-169590,26-Jun-18,,2.344,,,,,,,,2.808,,
1723,US-2014-169591,27-Jun-18,,2.344,,,,,,,,2.808,,
1724,US-2014-169592,28-Jun-18,,2.344,,,,,,,,2.808,,
1725,US-2014-169593,29-Jun-18,,2.344,,,,,,,,2.808,,
1726,US-2014-169594,30-Jun-18,,2.344,,,,,,,,2.808,,
1727,US-2014-169595,1-Jul-18,,2.344,,,,,,,,2.808,,
1728,US-2014-169596,2-Jul-18,,2.344,,,,,,,,2.808,,
1729,US-2014-169597,3-Jul-18,,2.344,,,,,,,,2.808,,
1730,US-2014-169598,4-Jul-18,,2.344,,,,,,,,2.808,,
1731,US-2014-169599,5-Jul-18,,2.344,,,,,,,,2.808,,
1732,US-2014-169600,6-Jul-18,,2.344,,,,,,,,2.808,,
1733,US-2014-169601,7-Jul-18,,2.344,,,,,,,,2.808,,
1734,US-2014-169602,8-Jul-18,,2.344,,,,,,,,2.808,,
1735,US-2014-169603,9-Jul-18,,2.344,,,,,,,,2.808,,
1736,US-2014-169604,10-Jul-18,,2.344,,,,,,,,2.808,,
1737,US-2014-169605,11-Jul-18,,2.344,,,,,,,,2.808,,
1738,US-2014-169606,12-Jul-18,,2.344,,,,,,,,2.808,,
1739,US-2014-169607,13-Jul-18,,2.344,,,,,,,,2.808,,
1740,US-2014-169608,14-Jul-18,,2.344,,,,,,,,2.808,,
1741,US-2014-169609,15-Jul-18,,2.344,,,,,,,,2.808,,
1742,US-2014-169610,16-Jul-18,,2.344,,,,,,,,2.808,,
1743,US-2014-169611,17-Jul-18,,2.344,,,,,,,,2.808,,
1744,US-2014-169612,18-Jul-18,,2.344,,,,,,,,2.808,,
1745,US-2014-169613,19-Jul-18,,2.344,,,,,,,,2.808,,
1746,US-2014-169614,20-Jul-18,,2.344,,,,,,,,2.808,,
1747,US-2014-169615,21-Jul-18,,2.344,,,,,,,,2.808,,
1748,US-2014-169616,22-Jul-18,,2.344,,,,,,,,2.808,,
1749,US-2014-169617,23-Jul-18,,2.344,,,,,,,,2.808,,
1750,US-2014-169618,24-Jul-18,,2.344,,,,,,,,2.808,,
1751,US-2014-169619,25-Jul-18,,2.344,,,,,,,,2.808,,
1752,US-2014-169620,26-Jul-18,,2.344,,,,,,,,2.808,,
1753,US-2014-169621,27-Jul-18,,2.344,,,,,,,,2.808,,
1754,US-2014-169622,28-Jul-18,,2.344,,,,,,,,2.808,,
1755,US-2014-169623,29-Jul-18,,2.344,,,,,,,,2.808,,
1756,US-2014-169624,30-Jul-18,,2.344,,,,,,,,2.808,,
1757,US-2014-169625,31-Jul-18,,2.344,,,,,,,,2.808,,
1758,US-2014-169626,1-Aug-18,,2.344,,,,,,,,2.808,,
1759,US-2014-169627,2-Aug-18,,2.344,,,,,,,,2.808,,
1760,US-2014-169628,3-Aug-18,,2.344,,,,,,,,2.808,,
1761,US-2014-169629,4-Aug-18,,2.344,,,,,,,,2.808,,
1762,US-2014-169630,5-Aug-18,,2.344,,,,,,,,2.808,,
1763,US-2014-169631,6-Aug-18,,2.344,,,,,,,,2.808,,
1764,US-2014-169632,7-Aug-18,,2.344,,,,,,,,2.808,,
1765,US-2014-169633,8-Aug-18,,2.344,,,,,,,,2.808,,
1766,US-2014-169634,9-Aug-18,,2.344,,,,,,,,2.808,,
1767,US-2014-169635,10-Aug-18,,2.344,,,,,,,,2.808,,
1768,US-2014-169636,11-Aug-18,,2.344,,,,,,,,2.808,,
1769,US-2014-169637,12-Aug-18,,2.344,,,,,,,,2.808,,
1770,US-2014-169638,13-Aug-18,,2.344,,,,,,,,2.808,,
1771,US-2014-169639,14-Aug-18,,2.344,,,,,,,,2.808,,
1772,US-2014-169640,15-Aug-18,,2.344,,,,,,,,2.808,,
1773,US-2014-169641,16-Aug-18,,2.344,,,,,,,,2.808,,
1774,US-2014-169642,17-Aug-18,,2.344,,,,,,,,2.808,,
1775,US-2014-169643,18-Aug-18,,2.344,,,,,,,,2.808,,
1776,US-2014-169644,19-Aug-18,,2.344,,,,,,,,2.808,,
1777,US-2014-169645,20-Aug-18,,2.344,,,,,,,,2.808,,
1778,US-2014-169646,21-Aug-18,,2.344,,,,,,,,2.808,,
1779,US-2014-169647,22-Aug-18,,2.344,,,,,,,,2.808,,
1780,US-2014-169648,23-Aug-18,,2.344,,,,,,,,2.808,,
1781,US-2014-169649,24-Aug-18,,2.344,,,,,,,,2.808,,
1782,US-2014-169650,25-Aug-18,,2.344,,,,,,,,2.808,,
1783,US-2014-169651,26-Aug-18,,2.344,,,,,,,,2.808,,
1784,US-2014-169652,27-Aug-18,,2.344,,,,,,,,2.808,,
1785,US-2014-169653,28-Aug-18,,2.344,,,,,,,,2.808,,
1786,US-2014-169654,29-Aug-18,,2.344,,,,,,,,2.808,,
1787,US-2014-169655,30-Aug-18,,2.344,,,,,,,,2.808,,
1788,US-2014-169656,31-Aug-18,,2.344,,,,,,,,2.808,,
1789,US-2014-169657,1-Sep-18,,2.344,,,,,,,,2.808,,
1790,US-2014-169658,2-Sep-18,,2.344,,,,,,,,2.808,,
1791,US-2014-169659,3-Sep-18,,2.344,,,,,,,,2.808,,
1792,US-2014-169660,4-Sep-18,,2.344,,,,,,,,2.808,,
1793,US-2014-169661,5-Sep-18,,2.344,,,,,,,,2.808,,
1794,US-2014-169662,6-Sep-18,,2.344,,,,,,,,2.808,,
1795,US-2014-169663,7-Sep-18,,2.344,,,,,,,,2.808,,
1796,US-2014-169664,8-Sep-18,,2.344,,,,,,,,2.808,,
1797,US-2014-169665,9-Sep-18,,2.344,,,,,,,,2.808,,
1798,US-2014-169666,10-Sep-18,,2.344,,,,,,,,2.808,,
1799,US-2014-169667,11-Sep-18,,2.344,,,,,,,,2.808,,
1800,US-2014-169668,12-Sep-18,,2.344,,,,,,,,2.808,,
1801,US-2014-169669,13-Sep-18,,2.344,,,,,,,,2.808,,
1802,US-2014-169670,14-Sep-18,,2.344,,,,,,,,2.808,,
1803,US-2014-169671,15-Sep-18,,2.344,,,,,,,,2.808,,
1804,US-2014-169672,16-Sep-18,,2.344,,,,,,,,2.808,,
1805,US-2014-169673,17-Sep-18,,2.344,,,,,,,,2.808,,
1806,US-2014-169674,18-Sep-18,,2.344,,,,,,,,2.808,,
1807,US-2014-169675,19-Sep-18,,2.344,,,,,,,,2.808,,
1808,US-2014-169676,20-Sep-18,,2.344,,,,,,,,2.808,,
1809,US-2014-169677,21-Sep-18,,2.344,,,,,,,,2.808,,
1810,US-2014-169678,22-Sep-18,,2.344,,,,,,,,2.808,,
1811,US-2014-169679,23-Sep-18,,2.344,,,,,,,,2.808,,
1812,US-2014-169680,24-Sep-18,,2.344,,,,,,,,2.808,,
1813,US-2014-169681,25-Sep-18,,2.344,,,,,,,,2.808,,
1814,US-2014-169682,26-Sep-18,,2.344,,,,,,,,2.808,,
1815,US-2014-169683,27-Sep-18,,2.344,,,,,,,,2.808,,
1816,US-2014-169684,28-Sep-18,,2.344,,,,,,,,2.808,,
1817,US-2014-169685,29-Sep-18,,2.344,,,,,,,,2.808,,
1818,US-2014-169686,30-Sep-18,,2.344,,,,,,,,2.808,,
1819,US-2014-169687,1-Oct-18,,2.344,,,,,,,,2.808,,
1820,US-2014-169688,2-Oct-18,,2.344,,,,,,,,2.808,,
1821,US-2014-169689,3-Oct-18,,2.344,,,,,,,,2.808,,
1822,US-2014-169690,4-Oct-18,,2.344,,,,,,,,2.808,,
1823,US-2014-169691,5-Oct-18,,2.344,,,,,,,,2.808,,
1824,US-2014-169692,6-Oct-18,,2.344,,,,,,,,2.808,,
1825,US-2014-169693,7-Oct-18,,2.344,,,,,,,,2.808,,
1826,US-2014-169694,8-Oct-18,,2.344,,,,,,,,2.808,,
1827,US-2014-169695,9-Oct-18,,2.344,,,,,,,,2.808,,
1828,US-2014-169696,10-Oct-18,,2.344,,,,,,,,2.808,,
1829,US-2014-169697,11-Oct-18,,2.344,,,,,,,,2.808,,
1830,US-2014-169698,12-Oct-18,,2.344,,,,,,,,2.808,,
1831,US-2014-169699,13-Oct-18,,2.344,,,,,,,,2.808,,
1832,US-2014-169700,14-Oct-18,,2.344,,,,,,,,2.808,,
1833,US-2014-169701,15-Oct-18,,2.344,,,,,,,,2.808,,
1834,US-2014-169702,16-Oct-18,,2.344,,,,,,,,2.808,,
1835,US-2014-169703,17-Oct-18,,2.344,,,,,,,,2.808,,
1836,US-2014-169704,18-Oct-18,,2.344,,,,,,,,2.808,,
1837,US-2014-169705,19-Oct-18,,2.344,,,,,,,,2.808,,
1838,US-2014-169706,20-Oct-18,,2.344,,,,,,,,2.808,,
1839,US-2014-169707,21-Oct-18,,2.344,,,,,,,,2.808,,
1840,US-2014-169708,22-Oct-18,,2.344,,,,,,,,2.808,,
1841,US-2014-169709,23-Oct-18,,2.344,,,,,,,,2.808,,
1842,US-2014-169710,24-Oct-18,,2.344,,,,,,,,2.808,,
1843,US-2014-169711,25-Oct-18,,2.344,,,,,,,,2.808,,
1844,US-2014-169712,26-Oct-18,,2.344,,,,,,,,2.808,,
1845,US-2014-169713,27-Oct-18,,2.344,,,,,,,,2.808,,
1846,US-2014-169714,28-Oct-18,,2.344,,,,,,,,2.808,,
1847,US-2014-169715,29-Oct-18,,2.344,,,,,,,,2.808,,
1848,US-2014-169716,30-Oct-18,,2.344,,,,,,,,2.808,,
1849,US-2014-169717,31-Oct-18,,2.344,,,,,,,,2.808,,
1850,US-2014-169718,1-Nov-18,,2.344,,,,,,,,2.808,,
1851,US-2014-169719,2-Nov-18,,2.344,,,,,,,,2.808,,
1852,US-2014-169720,3-Nov-18,,2.344,,,,,,,,2.808,,
1853,US-2014-169721,4-Nov-18,,2.344,,,,,,,,2.808,,
1854,US-2014-169722,5-Nov-18,,2.344,,,,,,,,2.808,,
1855,US-2014-169723,6-Nov-18,,2.344,,,,,,,,2.808,,
1856,US-2014-169724,7-Nov-18,,2.344,,,,,,,,2.808,,
1857,US-2014-169725,8-Nov-18,,2.344,,,,,,,,2.808,,
1858,US-2014-169726,9-Nov-18,,2.344,,,,,,,,2.808,,
1859,US-2014-169727,10-Nov-18,,2.344,,,,,,,,2.808,,
1860,US-2014-169728,11-Nov-18,,2.344,,,,,,,,2.808,,
1861,US-2014-169729,12-Nov-18,,2.344,,,,,,,,2.808,,
1862,US-2014-169730,13-Nov-18,,2.344,,,,,,,,2.808,,
1863,US-2014-169731,14-Nov-18,,2.344,,,,,,,,2.808,,
1864,US-2014-169732,15-Nov-18,,2.344,,,,,,,,2.808,,
1865,US-2014-169733,16-Nov-18,,2.344,,,,,,,,2.808,,
1866,US-2014-169734,17-Nov-18,,2.344,,,,,,,,2.808,,
1867,US-2014-169735,18-Nov-18,,2.344,,,,,,,,2.808,,
1868,US-2014-169736,19-Nov-18,,2.344,,,,,,,,2.808,,
1869,US-2014-169737,20-Nov-18,,2.344,,,,,,,,2.808,,
1870,US-2014-169738,21-Nov-18,,2.344,,,,,,,,2.808,,
1871,US-2014-169739,22-Nov-18,,2.344,,,,,,,,2.808,,
1872,US-2014-169740,23-Nov-18,,2.344,,,,,,,,2.808,,
1873,US-2014-169741,24-Nov-18,,2.344,,,,,,,,2.808,,
1874,US-2014-169742,25-Nov-18,,2.344,,,,,,,,2.808,,
1875,US-2014-169743,26-Nov-18,,2.344,,,,,,,,2.808,,
1876,US-2014-169744,27-Nov-18,,2.344,,,,,,,,2.808,,
1877,US-2014-169745,28-Nov-18,,2.344,,,,,,,,2.808,,
1878,US-2014-169746,29-Nov-18,,2.344,,,,,,,,2.808,,
1879,US-2014-169747,30-Nov-18,,2.344,,,,,,,,2.808,,
1880,US-2014-169748,1-Dec-18,,2.344,,,,,,,,2.808,,
1881,US-2014-169749,2-Dec-18,,2.344,,,,,,,,2.808,,
1882,US-2014-169750,3-Dec-18,,2.344,,,,,,,,2.808,,
1883,US-2014-169751,4-Dec-18,,2.344,,,,,,,,2.808,,
1884,US-2014-169752,5-Dec-18,,2.344,,,,,,,,2.808,,
1885,US-2014-169753,6-Dec-18,,2.344,,,,,,,,2.808,,
1886,US-2014-169754,7-Dec-18,,2.344,,,,,,,,2.808,,
1887,US-2014-169755,8-Dec-18,,2.344,,,,,,,,2.808,,
1888,US-2014-169756,9-Dec-18,,2.344,,,,,,,,2.808,,
1889,US-2014-169757,10-Dec-18,,2.344,,,,,,,,2.808,,
1890,US-2014-169758,11-Dec-18,,2.344,,,,,,,,2.808,,
1891,US-2014-169759,12-Dec-18,,2.344,,,,,,,,2.808,,
1892,US-2014-169760,13-Dec-18,,2.344,,,,,,,,2.808,,
1893,US-2014-169761,14-Dec-18,,2.344,,,,,,,,2.808,,
1894,US-2014-169762,15-Dec-18,,2.344,,,,,,,,2.808,,
1895,US-2014-169763,16-Dec-18,,2.344,,,,,,,,2.808,,
1896,US-2014-169764,17-Dec-18,,2.344,,,,,,,,2.808,,
1897,US-2014-169765,18-Dec-18,,2.344,,,,,,,,2.808,,
1898,US-2014-169766,19-Dec-18,,2.344,,,,,,,,2.808,,
1899,US-2014-169767,20-Dec-18,,2.344,,,,,,,,2.808,,
1900,US-2014-169768,21-Dec-18,,2.344,,,,,,,,2.808,,
1901,US-2014-169769,22-Dec-18,,2.344,,,,,,,,2.808,,
1902,US-2014-169770,23-Dec-18,,2.344,,,,,,,,2.808,,
1903,US-2014-169771,24-Dec-18,,2.344,,,,,,,,2.808,,
1904,US-2014-169772,25-Dec-18,,2.344,,,,,,,,2.808,,
1905,US-2014-169773,26-Dec-18,,2.344,,,,,,,,2.808,,
1906,US-2014-169774,27-Dec-18,,2.344,,,,,,,,2.808,,
1907,US-2014-169775,28-Dec-18,,2.344,,,,,,,,2.808,,
1908,US-2014-169776,29-Dec-18,,2.344,,,,,,,,2.808,,
1909,US-2014-169777,30-Dec-18,,2.344,,,,,,,,2.808,,
1910,US-2014-169778,31-Dec-18,,2.344,,,,,,,,2.808,,
1911,US-2014-169779,1-Jan-19,,2.344,,,,,,,,2.808,,
1912,US-2014-169780,2-Jan-19,,2.344,,,,,,,,2.808,,
1913,US-2014-169781,3-Jan-19,,2.344,,,,,,,,2.808,,
1914,US-2014-169782,4-Jan-19,,2.344,,,,,,,,2.808,,
1915,US-2014-169783,5-Jan-19,,2.344,,,,,,,,2.808,,
1916,US-2014-169784,6-Jan-19,,2.344,,,,,,,,2.808,,
1917,US-2014-169785,7-Jan-19,,2.344,,,,,,,,2.808,,
1918,US-2014-169786,8-Jan-19,,2.344,,,,,,,,2.808,,
1919,US-2014-169787,9-Jan-19,,2.344,,,,,,,,2.808,,
1920,US-2014-169788,10-Jan-19,,2.344,,,,,,,,2.808,,
1921,US-2014-169789,11-Jan-19,,2.344,,,,,,,,2.808,,
1922,US-2014-169790,12-Jan-19,,2.344,,,,,,,,2.808,,
1923,US-2014-169791,13-Jan-19,,2.344,,,,,,,,2.808,,
1924,US-2014-169792,14-Jan-19,,2.344,,,,,,,,2.808,,
1925,US-2014-169793,15-Jan-19,,2.344,,,,,,,,2.808,,
1926,US-2014-169794,16-Jan-19,,2.344,,,,,,,,2.808,,
1927,US-2014-169795,17-Jan-19,,2.344,,,,,,,,2.808,,
1928,US-2014-169796,18-Jan-19,,2.344,,,,,,,,2.808,,
1929,US-2014-169797,19-Jan-19,,2.344,,,,,,,,2.808,,
1930,US-2014-169798,20-Jan-19,,2.344,,,,,,,,2.808,,
1931,US-2014-169799,21-Jan-19,,2.344,,,,,,,,2.808,,
1932,US-2014-169800,22-Jan-19,,2.344,,,,,,,,2.808,,
1933,US-2014-169801,23-Jan-19,,2.344,,,,,,,,2.808,,
1934,US-2014-169802,24-Jan-19,,2.344,,,,,,,,2.808,,
1935,US-2014-169803,25-Jan-19,,2.344,,,,,,,,2.808,,
1936,US-2014-169804,26-Jan-19,,2.344,,,,,,,,2.808,,
1937,US-2014-169805,27-Jan-19,,2.344,,,,,,,,2.808,,
1938,US-2014-169806,28-Jan-19,,2.344,,,,,,,,2.808,,
1939,US-2014-169807,29-Jan-19,,2.344,,,,,,,,2.808,,
1940,US-2014-169808,30-Jan-19,,2.344,,,,,,,,2.808,,
1941,US-2014-169809,31-Jan-19,,2.344,,,,,,,,2.808,,
1942,US-2014-169810,1-Feb-19,,2.344,,,,,,,,2.808,,
1943,US-2014-169811,2-Feb-19,,2.344,,,,,,,,2.808,,
1944,US-2014-169812,3-Feb-19,,2.344,,,,,,,,2.808,,
1945,US-2014-169813,4-Feb-19,,2.344,,,,,,,,2.808,,
1946,US-2014-169814,5-Feb-19,,2.344,,,,,,,,2.808,,
1947,US-2014-169815,6-Feb-19,,2.344,,,,,,,,2.808,,
1948,US-2014-169816,7-Feb-19,,2.344,,,,,,,,2.808,,
1949,US-2014-169817,8-Feb-19,,2.344,,,,,,,,2.808,,
1950,US-2014-169818,9-Feb-19,,2.344,,,,,,,,2.808,,
1951,US-2014-169819,10-Feb-19,,2.344,,,,,,,,2.808,,
1952,US-2014-169820,11-Feb-19,,2.344,,,,,,,,2.808,,
1953,US-2014-169821,12-Feb-19,,2.344,,,,,,,,2.808,,
1954,US-2014-169822,13-Feb-19,,2.344,,,,,,,,2.808,,
1955,US-2014-169823,14-Feb-19,,2.344,,,,,,,,2.808,,
1956,US-2014-169824,15-Feb-19,,2.344,,,,,,,,2.808,,
1957,US-2014-169825,16-Feb-19,,2.344,,,,,,,,2.808,,
1958,US-2014-169826,17-Feb-19,,2.344,,,,,,,,2.808,,
1959,US-2014-169827,18-Feb-19,,2.344,,,,,,,,2.808,,
1960,US-2014-169828,19-Feb-19,,2.344,,,,,,,,2.808,,
1961,US-2014-169829,20-Feb-19,,2.344,,,,,,,,2.808,,
1962,US-2014-169830,21-Feb-19,,2.344,,,,,,,,2.808,,
1963,US-2014-169831,22-Feb-19,,2.344,,,,,,,,2.808,,
